customer_id,age,income,previous_purchases,website_visits,treatment,purchased
C0130,52,93319,1,4,0,0
C0131,54,37368,5,2,0,0
C0132,64,35328,8,11,1,1
C0133,31,76942,0,0,1,0
C0134,20,111751,8,8,0,0
C0135,18,119131,8,8,0,0
C0136,22,47306,8,3,0,0
C0137,43,105451,4,2,0,0
C0138,31,59915,8,16,1,1
C0139,56,57219,3,1,0,0
C0140,44,100879,1,0,1,0
C0141,26,84644,5,7,0,0
C0142,32,80279,3,12,0,0
C0143,32,73028,5,14,0,0
C0144,43,20126,2,7,1,1
C0145,59,72329,5,11,1,1
C0146,30,47632,1,11,0,0
C0147,49,85310,1,13,1,1
C0148,56,75176,8,14,1,0
C0149,49,106066,6,14,0,0
C0150,21,64327,2,8,0,0
C0151,47,88904,0,18,1,0
C0152,54,23797,7,19,1,1
C0153,40,67882,5,7,1,0
C0154,56,33718,6,18,0,1
C0155,62,54560,8,5,0,0
C0156,32,96589,4,19,1,1
C0157,60,42116,0,18,0,0
C0158,46,56244,9,3,0,1
C0159,53,21645,6,6,1,1
C0160,30,67523,4,3,1,1
C0161,49,39256,2,11,0,1
C0162,24,73173,8,12,0,0
C0163,39,57430,0,2,1,0
C0164,45,59282,0,11,0,0
C0165,19,83374,0,1,0,0
C0166,59,88244,2,1,1,0
C0167,62,31694,5,8,1,1
C0168,23,76264,9,0,0,0
C0169,45,95060,2,7,0,0
C0170,45,117416,7,5,0,0
C0171,61,77545,9,5,1,1
C0172,61,59224,1,17,0,0
C0173,37,117945,8,16,0,0
C0174,47,33224,2,11,1,0
C0175,28,60738,4,5,1,1
C0176,45,45150,9,7,0,0
C0177,42,83731,7,18,1,1
C0178,56,69688,1,9,1,1
C0179,50,119929,5,0,0,0
C0180,18,93509,4,12,1,1
C0181,44,28577,9,16,1,1
C0182,30,28070,8,2,0,1
C0183,58,28666,4,7,1,0
C0184,20,77761,1,13,0,0
C0185,56,56368,4,2,0,0
C0186,23,26783,3,15,1,0
C0187,25,61914,6,12,1,1
C0188,44,90507,5,19,1,1
C0189,26,99026,1,16,0,0
C0190,54,87526,4,12,1,1
C0191,50,90835,6,5,0,0
C0192,59,65765,6,16,1,0
C0193,61,39956,4,13,1,1
C0194,41,107895,8,16,1,1
C0195,32,66240,3,7,0,1
C0196,49,57148,2,10,1,1
C0197,49,114270,3,19,1,0
C0198,41,24757,4,0,0,0
C0199,58,39097,5,6,0,0
C0200,29,30395,2,16,1,0
C0201,56,36241,1,9,1,1
C0202,19,47696,3,10,1,0
C0203,20,90480,4,8,0,0
C0204,54,66163,3,8,0,0
C0205,34,39816,2,4,0,0
C0206,19,69840,7,16,0,0
C0207,19,72853,9,8,1,1
C0208,45,44917,3,16,0,0
C0209,40,116731,1,18,0,1
C0210,54,41566,1,6,0,1
C0211,49,95452,0,8,1,1
C0212,50,82823,3,6,1,0
C0213,18,40806,9,12,0,0
C0214,36,95520,8,10,0,0
C0215,19,21759,6,13,1,0
C0216,61,61949,9,18,1,1
C0217,43,112374,6,10,1,0
C0218,49,22482,6,12,1,1
C0219,23,44442,7,13,1,1
C0220,49,53719,0,12,1,0
C0221,21,78066,9,0,1,0
C0222,28,113501,9,7,1,0
C0223,34,22079,7,11,0,1
C0224,55,22717,3,18,0,1
C0225,41,79676,3,11,0,0
C0226,22,47952,3,7,0,0
C0227,51,106444,5,7,0,1
C0228,23,62460,6,12,0,0
C0229,39,110397,5,11,1,1
C0230,28,92847,0,15,1,0
C0231,33,113607,7,0,0,0
C0232,50,109106,9,12,0,1
C0233,26,38449,6,6,1,0
C0234,23,53536,5,4,1,0
C0235,33,84077,5,7,1,0
C0236,46,58258,4,13,0,0
C0237,20,68302,5,12,1,1
C0238,37,48865,8,14,0,0
C0239,53,26645,9,16,0,1
C0240,36,58000,8,14,1,0
C0241,43,46737,9,19,1,0
C0242,20,31485,7,17,0,0
C0243,36,58565,9,17,1,1
C0244,37,45522,8,1,1,1
C0245,49,85155,9,3,0,1
C0246,24,75168,7,0,1,0
C0247,58,72487,7,3,0,0
C0248,50,32342,0,17,0,0
C0249,57,60806,9,4,1,1
C0250,56,68770,4,18,0,1
C0251,35,98623,3,14,0,1
C0252,57,119785,1,7,1,0
C0253,18,95629,7,19,1,0
C0254,28,72603,2,16,1,0
C0255,45,101974,3,0,0,0
C0256,42,46399,6,11,0,0
C0257,40,105382,9,18,1,0
C0258,48,101244,8,14,0,1
C0259,47,96534,1,8,1,0
C0260,59,75106,2,6,1,0
C0261,52,50678,3,1,0,0
C0262,24,96218,9,8,1,0
C0263,33,83230,0,9,0,0
C0264,43,94055,6,1,0,0
C0265,19,76373,1,18,1,0
C0266,18,51480,4,10,0,1
C0267,29,105230,0,12,1,0
C0268,22,88836,2,9,0,0
C0269,54,92258,1,13,0,0
C0270,49,59986,0,17,0,0
C0271,26,44160,6,18,1,1
C0272,58,105595,4,8,0,0
C0273,52,99111,0,6,1,1
C0274,36,84929,5,2,0,0
C0275,33,93506,4,19,0,1
C0276,20,54911,2,5,1,0
C0277,37,107127,6,1,1,0
C0278,41,51821,9,5,1,0
C0279,50,95039,8,2,1,1
C0280,41,80535,8,15,1,1
C0281,28,104458,8,7,0,0
C0282,25,32175,1,1,0,1
C0283,53,74771,2,16,1,1
C0284,55,106925,6,8,0,1
C0285,57,86358,4,11,0,0
C0286,37,37327,1,2,0,0
C0287,52,67057,2,10,1,0
C0288,42,26150,9,0,0,0
C0289,52,24425,5,12,0,0
C0290,42,36032,6,14,0,1
C0291,46,22198,8,4,1,0
C0292,35,80500,0,16,0,0
C0293,63,73394,6,5,0,0
C0294,35,40079,7,10,1,0
C0295,19,56220,2,17,1,0
C0296,52,61874,3,3,0,0
C0297,33,33859,9,2,0,0
C0298,58,70460,5,12,1,0
C0299,53,51419,9,8,1,1
C0300,50,28705,6,5,1,1
C0301,21,62880,3,11,1,1
C0302,50,43236,7,1,1,0
C0303,31,107955,4,2,1,0
C0304,38,105514,0,2,1,0
C0305,37,35358,3,11,0,0
C0306,25,119713,2,14,1,0
C0307,24,114914,8,8,1,0
C0308,20,96918,7,7,0,0
C0309,34,34596,0,10,1,0
C0310,50,53572,5,15,1,1
C0311,29,98757,8,3,0,1
C0312,39,21279,6,0,1,1
C0313,39,83197,3,6,0,0
C0314,63,82516,0,1,0,0
C0315,47,27083,1,4,0,0
C0316,55,37771,4,6,0,1
C0317,55,49975,4,3,1,0
C0318,62,65648,7,4,0,0
C0319,25,68285,5,0,0,0
C0320,44,39063,7,0,1,0
C0321,44,87642,1,14,0,0
C0322,51,110093,2,19,0,0
C0323,38,106143,5,18,0,0
C0324,47,57599,9,9,0,1
C0325,50,71920,2,17,1,1
C0326,45,48529,5,2,0,0
C0327,64,55954,5,10,1,0
C0328,50,47856,1,14,1,0
C0329,22,22573,6,10,0,0
C0330,36,98344,1,16,0,0
C0331,21,55367,5,16,0,0
C0332,52,119608,0,5,0,0
C0333,34,80774,2,4,1,0
C0334,61,43752,1,7,1,0
C0335,45,75029,6,1,1,0
C0336,47,37685,3,15,0,0
C0337,46,71693,7,19,1,1
C0338,63,75961,5,11,0,1
C0339,23,96908,9,5,0,0
C0340,52,94532,3,0,0,0
C0341,58,101994,4,3,0,1
C0342,54,76133,8,16,0,0
C0343,41,117425,6,12,1,0
C0344,46,81268,9,17,1,1
C0345,63,112201,8,4,0,0
C0346,48,58243,6,2,1,1
C0347,52,77384,0,10,0,1
C0348,50,51653,7,12,0,0
C0349,38,46657,3,3,0,0
C0350,49,59952,2,13,1,1
C0351,40,42180,6,10,0,0
C0352,50,117432,2,9,0,0
C0353,20,98411,7,18,1,1
C0354,35,21622,5,17,1,1
C0355,42,68756,4,5,1,0
C0356,59,60809,3,14,0,1
C0357,48,36725,7,9,0,0
C0358,20,81396,7,4,1,0
C0359,57,71226,0,4,0,0
C0360,63,101182,8,9,1,1
C0361,41,102565,4,4,1,0
C0362,49,49402,3,2,0,0
C0363,64,24263,5,5,0,0
C0364,39,116523,5,3,1,1
C0365,40,66828,1,17,1,1
C0366,19,67924,7,8,1,0
C0367,44,94182,6,16,1,1
C0368,59,113065,0,12,0,0
C0369,19,79052,4,14,1,0
C0370,43,31664,5,19,1,1
C0371,34,55737,3,16,1,0
C0372,57,109563,1,12,0,0
C0373,50,49373,3,15,0,0
C0374,26,56397,0,3,1,0
C0375,60,106145,6,4,0,0
C0376,56,58709,1,4,0,0
C0377,46,81120,1,8,0,0
C0378,59,39250,8,16,1,0
C0379,43,41172,4,12,1,1
C0380,52,31555,1,1,0,0
C0381,42,107410,8,12,1,1
C0382,41,98617,8,18,1,1
C0383,30,73276,0,2,0,0
C0384,24,77492,2,9,0,0
C0385,53,73002,3,1,1,1
C0386,62,109599,6,12,0,0
C0387,37,92355,9,18,1,0
C0388,18,111248,3,16,1,0
C0389,25,44762,1,13,0,0
C0390,63,31046,6,11,1,0
C0391,33,116999,5,11,1,1
C0392,31,48769,2,10,0,0
C0393,29,73302,5,6,0,1
C0394,40,43150,5,3,0,0
C0395,32,88247,4,18,1,0
C0396,45,24853,3,0,0,0
C0397,51,114613,9,2,0,1
C0398,19,109399,0,12,0,0
C0399,49,41792,9,14,0,1
C0400,40,79129,5,1,1,1
C0401,39,94478,1,10,1,0
C0402,42,87298,2,3,0,0
C0403,39,51987,7,18,1,0
C0404,39,35850,9,16,0,0
C0405,59,32112,5,2,0,1
C0406,23,44058,2,17,1,0
C0407,32,65420,6,7,1,1
C0408,60,58890,3,18,0,0
C0409,54,86017,8,4,0,0
C0410,50,67304,4,6,1,0
C0411,25,52921,2,7,0,1
C0412,61,21524,1,4,1,0
C0413,61,35048,1,16,0,0
C0414,22,55111,2,4,0,0
C0415,56,57904,1,3,1,0
C0416,21,74912,3,18,1,0
C0417,23,54008,1,1,1,0
C0418,62,20060,9,10,1,1
C0419,49,94666,8,12,1,1
C0420,47,103559,1,14,1,1
C0421,64,75337,8,11,1,1
C0422,52,33350,5,10,0,0
C0423,57,44354,0,6,0,0
C0424,33,65186,3,4,0,0
C0425,30,48145,0,16,1,1
C0426,59,54020,5,19,1,1
C0427,47,106123,3,8,1,1
C0428,36,95186,2,13,0,1
C0429,34,105469,2,11,1,0
C0430,36,40581,8,5,1,1
C0431,45,108929,5,16,0,0
C0432,43,43051,8,18,1,1
C0433,54,71474,4,18,0,0
C0434,43,111748,1,15,0,0
C0435,40,89626,7,11,1,1
C0436,26,26960,4,11,1,0
C0437,29,55772,1,19,1,0
C0438,18,41520,3,5,0,0
C0439,18,69481,8,3,0,1
C0440,64,56408,3,5,0,0
C0441,51,114006,3,10,1,0
C0442,49,77134,1,0,1,0
C0443,42,40491,5,14,1,0
C0444,57,21341,1,10,1,0
C0445,62,64623,6,18,0,0
C0446,18,110327,2,17,0,0
C0447,33,20338,2,16,0,0
C0448,56,91431,4,18,0,0
C0449,22,32254,2,13,1,0
C0450,39,71860,1,17,1,0
C0451,46,31344,9,18,1,0
C0452,20,21750,8,14,0,1
C0453,29,74756,1,14,0,0
C0454,43,87957,1,3,1,0
C0455,33,78053,7,6,1,0
C0456,54,90855,8,12,0,0
C0457,39,35896,6,2,1,0
C0458,46,75761,2,15,0,0
C0459,31,82552,8,8,0,1
C0460,45,97454,2,7,0,0
C0461,22,110600,4,19,1,0
C0462,64,47935,8,12,1,0
C0463,47,57641,2,16,0,0
C0464,63,49711,6,16,1,0
C0465,22,90342,0,16,0,0
C0466,29,32182,3,0,0,1
C0467,33,107833,3,7,0,0
C0468,43,76276,6,18,0,1
C0469,43,39541,7,5,1,0
C0470,38,114457,0,2,0,0
C0471,56,102310,4,4,0,0
C0472,53,64813,6,12,1,0
C0473,50,57198,3,14,0,0
C0474,47,28820,3,13,0,0
C0475,54,44070,3,15,1,0
C0476,40,89768,5,17,1,0
C0477,27,31122,6,10,1,0
C0478,22,100559,1,2,0,0
C0479,53,93543,4,9,1,1
C0480,51,103441,3,9,1,0
C0481,48,61786,2,15,0,1
C0482,27,114934,6,11,0,0
C0483,36,119804,5,1,0,0
C0484,49,26737,6,8,0,0
C0485,18,56062,4,2,0,1
C0486,22,74237,5,14,1,0
C0487,62,71571,4,2,1,1
C0488,21,45510,6,18,1,0
C0489,33,39426,1,17,0,1
C0490,41,57265,4,7,0,0
C0491,33,37850,5,16,0,0
C0492,19,86150,5,7,1,0
C0493,45,107312,4,6,1,1
C0494,49,109613,9,6,0,1
C0495,44,94910,6,2,1,0
C0496,37,72375,9,0,0,0
C0497,41,55435,7,3,1,0
C0498,29,116443,6,4,1,1
C0499,52,77132,4,0,1,0
C0500,50,98945,0,14,0,1
C0501,50,102050,4,4,1,1
C0502,60,115402,9,12,1,0
C0503,54,22983,1,7,0,0
C0504,29,117241,4,7,1,1
C0505,20,40662,4,4,0,0
C0506,18,43510,1,8,0,1
C0507,50,98187,4,0,0,0
C0508,57,60998,3,3,0,0
C0509,27,76846,0,2,0,0
C0510,60,114071,2,1,1,0
C0511,61,26640,0,7,0,0
C0512,46,64547,4,8,0,0
C0513,30,74620,3,1,0,0
C0514,29,35317,6,13,0,1
C0515,48,27564,4,13,1,1
C0516,63,47345,9,3,0,0
C0517,19,114223,3,5,1,0
C0518,52,99273,1,10,0,1
C0519,40,94859,3,2,1,0
C0520,34,100765,1,7,0,1
C0521,43,94038,7,2,0,0
C0522,25,72393,2,13,1,1
C0523,46,86081,8,12,0,1
C0524,43,49430,3,12,1,0
C0525,27,95532,5,1,0,0
C0526,43,47788,9,12,1,0
C0527,51,115505,4,18,0,0
C0528,58,68543,9,5,0,1
C0529,24,33919,0,15,1,0
C0530,21,89346,8,1,0,0
C0531,62,116122,0,7,0,0
C0532,28,59974,7,16,0,1
C0533,46,36371,8,1,0,0
C0534,53,65084,8,9,0,1
C0535,42,49629,0,15,0,0
C0536,38,71184,1,5,1,0
C0537,53,81916,0,1,1,0
C0538,27,93972,9,1,1,1
C0539,54,82187,1,12,0,1
C0540,26,32984,9,14,1,0
C0541,41,53039,7,1,0,0
C0542,52,105431,4,6,0,1
C0543,52,103691,6,2,0,0
C0544,53,78606,1,7,0,0
C0545,35,30616,7,13,1,0
C0546,56,70072,5,6,0,1
C0547,49,44574,7,6,1,1
C0548,41,23430,0,0,0,0
C0549,40,32676,0,16,1,1
C0550,49,30816,6,8,1,0
C0551,54,52733,7,12,1,0
C0552,29,105680,2,18,1,1
C0553,30,22050,4,18,1,1
C0554,40,53933,0,16,1,0
C0555,42,44951,6,9,0,1
C0556,52,52413,4,9,1,0
C0557,58,54801,7,3,0,0
C0558,47,75619,7,7,1,0
C0559,34,52913,8,19,0,1
C0560,37,60600,6,19,1,1
C0561,42,77775,0,17,1,1
C0562,39,110816,2,13,0,0
C0563,30,110093,7,17,1,1
C0564,36,55400,2,13,1,0
C0565,53,24494,7,19,1,1
C0566,29,100688,0,14,0,1
C0567,58,109431,4,3,1,0
C0568,36,94691,3,12,0,0
C0569,29,117419,4,7,1,1
C0570,26,63001,7,17,1,0
C0571,24,87364,9,11,0,1
C0572,45,65028,3,13,1,0
C0573,31,117659,3,1,1,0
C0574,48,57573,2,17,0,1
C0575,36,20806,6,1,1,1
C0576,64,76638,2,10,0,0
C0577,33,49757,2,8,0,0
C0578,22,54636,9,11,0,0
C0579,52,100097,4,16,1,0
C0580,29,68280,4,14,0,0
C0581,42,44262,5,16,0,0
C0582,38,100435,7,17,1,1
C0583,53,82211,9,5,0,1
C0584,40,74842,5,16,1,0
C0585,33,76979,0,17,1,0
C0586,56,101470,7,7,1,0
C0587,62,58197,7,8,1,1
C0588,59,61844,8,5,0,1
C0589,56,84754,8,4,0,0
C0590,31,54157,1,11,0,1
C0591,48,97129,1,10,0,0
C0592,22,60042,2,0,0,0
C0593,52,81665,0,10,1,0
C0594,40,102856,3,18,0,0
C0595,46,47376,3,8,0,0
C0596,60,75554,8,1,0,0
C0597,28,34199,8,11,1,1
C0598,35,101412,8,3,1,0
C0599,64,70948,9,3,0,0
C0600,29,93781,6,17,1,1
C0601,26,92750,1,14,0,0
C0602,27,86262,9,18,0,1
C0603,61,66600,4,12,1,0
C0604,34,96898,3,18,1,0
C0605,55,82483,7,16,0,1
C0606,24,38297,1,5,0,0
C0607,63,50448,5,15,1,0
C0608,30,46172,4,11,0,0
C0609,57,62874,1,18,1,0
C0610,59,27657,9,4,0,0
C0611,26,104386,0,16,1,1
C0612,44,45425,7,0,0,0
C0613,19,46685,1,9,0,1
C0614,22,44578,6,14,1,0
C0615,46,48831,8,10,0,0
C0616,54,27906,8,12,0,1
C0617,55,81413,7,4,1,1
C0618,36,74028,9,0,0,0
C0619,25,27287,8,11,0,1
C0620,62,53660,1,10,0,0
C0621,18,95758,5,16,1,1
C0622,39,80504,3,3,1,1
C0623,34,79720,3,14,1,0
C0624,24,54701,4,8,0,0
C0625,42,103300,2,19,0,0
C0626,62,37674,0,18,0,0
C0627,21,103560,7,18,0,0
C0628,53,43874,4,11,1,0
C0629,23,63642,2,4,0,0
C0630,48,117820,9,9,0,0
C0631,36,85160,6,16,0,0
C0632,61,37602,6,4,1,0
C0633,56,108801,0,15,0,0
C0634,44,45931,8,6,0,0
C0635,27,114377,1,8,0,0
C0636,43,49192,4,2,0,0
C0637,36,66542,4,14,0,1
C0638,56,62520,7,15,1,0
C0639,20,84772,7,17,0,0
C0640,62,78762,6,13,0,1
C0641,30,70106,6,2,0,1
C0642,45,101121,5,11,0,1
C0643,37,45559,5,8,0,0
C0644,45,53742,8,6,0,0
C0645,25,89669,5,8,0,1
C0646,58,100199,1,12,0,0
C0647,56,41754,1,17,0,0
C0648,18,23972,4,4,0,0
C0649,20,90831,3,12,1,0
C0650,30,61873,1,3,1,0
C0651,45,114661,2,1,1,0
C0652,42,29903,6,15,1,1
C0653,50,23020,7,8,0,1
C0654,55,61755,5,8,1,1
C0655,23,105956,4,5,1,1
C0656,61,106988,0,10,0,0
C0657,62,65648,7,0,1,0
C0658,49,29516,2,3,1,0
C0659,62,22396,5,12,0,1
C0660,64,104082,2,12,0,0
C0661,38,39129,6,12,0,0
C0662,33,21591,6,1,1,0
C0663,38,31303,8,8,1,1
C0664,28,50561,4,7,0,0
C0665,54,91719,7,6,0,0
C0666,53,112108,9,3,1,0
C0667,52,119616,9,17,0,0
C0668,36,106231,7,2,1,1
C0669,37,27314,0,5,0,1
C0670,35,39623,4,11,0,0
C0671,64,87675,2,11,1,0
C0672,58,116826,0,7,0,0
C0673,31,85082,3,0,0,0
C0674,32,103624,7,3,0,1
C0675,48,53130,2,10,1,0
C0676,18,71756,9,2,0,1
C0677,20,117624,1,12,0,0
C0678,33,46292,8,16,0,0
C0679,40,106206,9,9,0,0
C0680,28,89274,4,11,0,0
C0681,29,22469,6,14,0,0
C0682,27,73947,1,9,1,0
C0683,49,42534,8,13,1,0
C0684,33,83620,8,12,0,1
C0685,25,68874,3,4,1,1
C0686,55,69708,3,5,1,1
C0687,29,94553,5,1,0,0
C0688,41,88344,9,16,1,0
C0689,45,69138,9,3,1,0
C0690,25,74302,9,13,1,0
C0691,45,67638,5,9,1,1
C0692,53,98249,0,2,1,0
C0693,43,22719,8,2,1,1
C0694,25,42890,1,14,1,0
C0695,45,97236,4,5,1,0
C0696,45,56509,8,16,0,1
C0697,54,62534,3,11,0,1
C0698,58,112241,2,19,1,1
C0699,53,38787,6,10,1,0
C0700,44,68845,5,3,0,0
C0701,34,77932,7,5,1,0
C0702,26,112124,2,0,1,1
C0703,50,111659,4,19,0,0
C0704,37,53062,9,15,0,0
C0705,30,95713,3,14,0,0
C0706,45,107263,3,16,1,1
C0707,46,115756,3,7,1,1
C0708,30,80461,9,11,0,0
C0709,63,95418,7,9,0,0
C0710,52,86672,5,14,1,1
C0711,23,54832,2,8,0,1
C0712,35,51966,9,1,1,0
C0713,22,92545,4,4,1,0
C0714,64,32987,5,5,0,0
C0715,42,57311,4,6,0,0
C0716,19,51575,5,0,1,0
C0717,27,83852,7,6,0,1
C0718,47,21007,6,19,0,0
C0719,62,90981,4,11,0,0
C0720,22,96242,9,15,0,0
C0721,50,67517,5,15,1,1
C0722,18,49257,3,10,1,1
C0723,35,107272,8,3,1,1
C0724,49,62207,3,12,1,1
C0725,64,33281,0,6,0,1
C0726,28,81246,6,3,0,1
C0727,38,21435,6,14,1,0
C0728,43,118875,3,18,1,0
C0729,42,111357,2,8,0,0
C0730,39,46660,7,10,1,0
C0731,44,25084,4,7,1,0
C0732,30,102197,9,0,0,0
C0733,50,33507,6,7,1,0
C0734,51,92595,3,12,0,0
C0735,58,103807,3,3,0,0
C0736,52,65539,7,7,1,0
C0737,18,27491,7,2,0,0
C0738,38,70192,1,8,1,0
C0739,23,100395,1,1,0,0
C0740,45,83888,2,1,1,1
C0741,34,93609,2,12,1,0
C0742,22,29077,0,14,1,1
C0743,48,40953,2,11,0,0
C0744,22,96919,5,3,0,0
C0745,55,87889,7,7,1,0
C0746,20,43821,9,8,0,0
C0747,40,57567,5,4,1,0
C0748,54,44860,4,19,1,0
C0749,54,41195,3,17,0,0
C0750,27,97475,2,10,1,0
C0751,27,110874,3,14,0,1
C0752,36,107266,6,8,1,1
C0753,34,41427,0,16,0,0
C0754,38,47083,6,11,1,0
C0755,31,107046,0,6,1,0
C0756,26,77372,1,9,0,0
C0757,63,64064,3,9,1,1
C0758,18,27813,0,12,1,1
C0759,62,51598,8,18,0,0
C0760,30,113106,5,10,1,1
C0761,21,47082,0,12,0,0
C0762,18,49241,0,7,1,0
C0763,57,116214,5,7,0,0
C0764,49,64569,3,3,1,1
C0765,51,31745,3,14,1,1
C0766,45,46029,5,10,1,1
C0767,48,33025,6,10,0,0
C0768,25,34288,8,0,0,0
C0769,56,109186,9,16,0,1
C0770,43,26540,4,14,0,0
C0771,51,117768,8,19,1,0
C0772,20,101958,3,5,1,1
C0773,29,88878,9,14,0,0
C0774,18,61846,1,8,0,0
C0775,61,95932,2,13,0,1
C0776,22,37482,0,17,1,1
C0777,47,43411,5,16,0,0
C0778,47,70975,5,17,0,0
C0779,34,80545,0,4,1,0
C0780,64,98797,2,19,1,0
C0781,40,72307,4,19,0,0
C0782,32,23093,2,8,1,0
C0783,54,97258,9,10,0,0
C0784,38,42042,2,0,1,0
C0785,31,72930,9,17,0,1
C0786,19,64413,2,5,0,0
C0787,28,113623,4,1,0,0
C0788,56,117883,4,14,0,0
C0789,55,53756,3,13,1,0
C0790,51,73268,0,4,1,1
C0791,55,59214,4,5,1,0
C0792,51,101871,9,5,1,1
C0793,35,48602,4,17,0,0
C0794,47,73331,3,13,0,0
C0795,32,68901,5,9,1,1
C0796,44,119986,9,13,1,0
C0797,51,83416,3,12,1,0
C0798,55,52196,6,2,1,0
C0799,50,25626,6,5,1,0
C0800,41,27424,1,7,0,0
C0801,32,32857,2,11,0,0
C0802,47,39982,0,12,0,0
C0803,59,96961,7,10,1,1
C0804,34,21980,8,11,1,0
C0805,22,68290,3,0,1,0
C0806,46,46431,5,16,1,1
C0807,21,104976,8,15,0,1
C0808,27,102711,5,10,0,0
C0809,34,46385,8,12,1,0
C0810,27,58158,3,17,0,1
C0811,34,43019,7,10,0,0
C0812,37,38639,8,11,1,0
C0813,41,105530,3,5,1,0
C0814,22,119911,4,8,1,0
C0815,51,41563,7,15,1,1
C0816,23,59341,9,3,1,1
C0817,19,25776,5,2,1,0
C0818,30,56444,6,15,0,0
C0819,60,88916,2,11,0,0
C0820,60,28711,6,10,1,0
